sample,sample_group,subvolume_name,mean_gvs,std_gvs,calculated_rho,uncertainty_rho,calculation_method_rho,sample_alias
46,MBC,voi_4,0.0971772,0.006266161,1.879211715959004,0.0265843172207285,LF_wit,MBC_2
46,MBC,voi_5,0.098044783,0.005119269,1.8881479478843333,0.0267277493160462,LF_wit,MBC_2
46,MBC,voi_6,0.096903399,0.007110735,1.8763915255710095,0.0265394643812115,LF_wit,MBC_2
1,MBC,voi_1,0.096615136,0.009422154,1.8624976459148053,0.0384162555101046,LF_wit,MBC_3
1,MBC,voi_2,0.098493308,0.007570253,1.8817269541593564,0.0388586686198244,LF_wit,MBC_3
1,MBC,voi_3,0.098123021,0.007030857,1.8779358408524016,0.03877036760931,LF_wit,MBC_3
1,MBC,voi_4,0.098302394,0.006296075,1.8797723173347205,0.0388130766090153,LF_wit,MBC_3
1,MBC,voi_5,0.101206563,0.005809257,1.9095061015117123,0.0395213920297159,LF_wit,MBC_3
1,MBC,voi_6,0.102158226,0.007698248,1.9192495228660584,0.0397602231982028,LF_wit,MBC_3
5,MBC,voi_1,0.07367177,0.004225599,1.6287964348878914,0.0215713034364157,LF_wit,MBC_4
5,MBC,voi_2,0.075888142,0.005111605,1.651397465955156,0.0217507340955234,LF_wit,MBC_4
5,MBC,voi_3,0.074825525,0.005664048,1.6405616316143488,0.0216626150804248,LF_wit,MBC_4
5,MBC,voi_4,0.07223063,0.004069071,1.614100684394618,0.0214637166194615,LF_wit,MBC_4
5,MBC,voi_5,0.073496938,0.004652628,1.6270136188878914,0.0215578667265592,LF_wit,MBC_4
5,MBC,voi_6,0.072013214,0.004101503,1.6118836261704026,0.0214481156402246,LF_wit,MBC_4
17,MGA,voi_1,0.084074326,0.011696439,1.7432124682244532,0.0438989193511309,LF_wit,MGA_2
17,MGA,voi_2,0.081032373,0.011314358,1.7117811027568406,0.0432489664663195,LF_wit,MGA_2
17,MGA,voi_3,0.075152293,0.005338059,1.6510244298369106,0.0421579263142615,LF_wit,MGA_2
17,MGA,voi_4,0.075826474,0.005094149,1.6579904905887766,0.0422715469885577,LF_wit,MGA_2
17,MGA,voi_5,0.08405105,0.008624388,1.7429719660001832,0.0438937338965388,LF_wit,MGA_2
17,MGA,voi_6,0.078960948,0.011399127,1.690377841031972,0.042839173637621,LF_wit,MGA_2
21,MGA,voi_1,0.101800896,0.007450508,1.926374502666543,0.0486992727787145,LF_wit,MGA_3
21,MGA,voi_2,0.094666295,0.008945424,1.8526553322860029,0.0465749535217983,LF_wit,MGA_3
21,MGA,voi_3,0.095278628,0.007666839,1.8589823407279085,0.0467477857459139,LF_wit,MGA_3
21,MGA,voi_4,0.088826656,0.013168638,1.7923165211314835,0.0450235269117964,LF_wit,MGA_3
21,MGA,voi_5,0.095477536,0.008439982,1.8610375828839945,0.0468043263963162,LF_wit,MGA_3
21,MGA,voi_6,0.092014097,0.010878054,1.8252511598249324,0.0458481966817645,LF_wit,MGA_3
24,FRESH,voi_1,0.1003516,0.004509925,1.918265976905312,0.0460086829405155,LF_wit,FRESH_2
24,FRESH,voi_2,0.099123567,0.005722566,1.905560231316397,0.0456492719401058,LF_wit,FRESH_2
24,FRESH,voi_3,0.097251423,0.004784391,1.8861902425866048,0.04511391308412,LF_wit,FRESH_2
24,FRESH,voi_4,0.095213927,0.00828153,1.86510945256351,0.0445490830496764,LF_wit,FRESH_2
24,FRESH,voi_5,0.099184111,0.004155811,1.9061866449884524,0.0456668403240088,LF_wit,FRESH_2
24,FRESH,voi_6,0.098353431,0.006460815,1.897592080554272,0.0454271828993493,LF_wit,FRESH_2
25,FRESH,voi_1,0.09683094,0.005740218,1.88260487274002,0.0336170968937219,LF_wit,FRESH_3
25,FRESH,voi_2,0.095350809,0.009262626,1.867196815573992,0.0333092373379295,LF_wit,FRESH_3
25,FRESH,voi_3,0.095859326,0.00672348,1.872490440939515,0.0334141536678316,LF_wit,FRESH_3
25,FRESH,voi_4,0.095535442,0.007610296,1.869118831813592,0.0333472264742464,LF_wit,FRESH_3
25,FRESH,voi_5,0.098209143,0.005290861,1.8969518667631105,0.0339104547839526,LF_wit,FRESH_3
25,FRESH,voi_6,0.097610012,0.007192413,1.8907149561802368,0.0337821440176897,LF_wit,FRESH_3
37,MGB,voi_1,0.10350538,0.003441029,1.935781957288196,0.0600801144763456,LF_wit,MGB_2
37,MGB,voi_2,0.099277191,0.004104229,1.892605474315296,0.058497250042218,LF_wit,MGB_2
37,MGB,voi_3,0.09867432,0.003409109,1.886449209903664,0.0582794716144181,LF_wit,MGB_2
37,MGB,voi_4,0.096959226,0.003998456,1.868935393258305,0.0576711659224842,LF_wit,MGB_2
37,MGB,voi_5,0.096916191,0.005197372,1.8684959379868544,0.0576561195346005,LF_wit,MGB_2
37,MGB,voi_6,0.098425768,0.003774608,1.883911101698028,0.0581902791084703,LF_wit,MGB_2
40,MGB,voi_1,0.10050901,0.003620593,1.9181307898254485,0.0789723163818343,LF_wit,MGB_3
40,MGB,voi_2,0.097336948,0.003644906,1.8854266411851173,0.0774056330222499,LF_wit,MGB_3
40,MGB,voi_3,0.095751874,0.003494823,1.8690844335920995,0.0766512513068329,LF_wit,MGB_3
40,MGB,voi_4,0.096128806,0.003781897,1.8729706250206708,0.0768288761761877,LF_wit,MGB_3
40,MGB,voi_5,0.098396026,0.003296896,1.8963457986081769,0.0779203976320765,LF_wit,MGB_3
40,MGB,voi_6,0.099502563,0.003635007,1.90775426115526,0.0784671897329549,LF_wit,MGB_3
45,MBC,voi_1,0.10738373,0.005427863,1.9969049005657704,0.0516545674161844,LF_wit,MBC_5
45,MBC,voi_2,0.10186252,0.006106479,1.939193808769448,0.0497808770496364,LF_wit,MBC_5
45,MBC,voi_3,0.101886228,0.00542708,1.93944161940594,0.0497886452892339,LF_wit,MBC_5
45,MBC,voi_4,0.098158918,0.008542024,1.90048147669024,0.0485985575365162,LF_wit,MBC_5
45,MBC,voi_5,0.100287117,0.00766892,1.9227267250777929,0.0492702927917378,LF_wit,MBC_5
45,MBC,voi_6,0.09848462,0.009054323,1.9038859148514848,0.0486999897412516,LF_wit,MBC_5
4,MBC,voi_1,0.08085667,0.006981341,1.7059709811475403,0.0233037956741266,LF_wot,MBC_0
4,MBC,voi_2,0.07079798,0.006937965,1.6034602879781417,0.0224020042718899,LF_wot,MBC_0
4,MBC,voi_3,0.075291783,0.00651774,1.6492577884972677,0.0227608879158449,LF_wot,MBC_0
4,MBC,voi_4,0.075269461,0.007096474,1.6490302992622947,0.0227589258012301,LF_wot,MBC_0
4,MBC,voi_5,0.077078708,0.005498488,1.667468800109289,0.0229236354481499,LF_wot,MBC_0
4,MBC,voi_6,0.071961075,0.00703366,1.6153136878415295,0.0224878440322091,LF_wot,MBC_0
8,MBC,voi_1,0.10207963,0.005927305,1.9105011937907077,0.0208088800212786,LF_wot,MBC_1
8,MBC,voi_2,0.096849896,0.015637824,1.858022186956144,0.0201616525929275,LF_wot,MBC_1
8,MBC,voi_3,0.100515887,0.008399532,1.8948094435822835,0.0206098950390112,LF_wot,MBC_1
8,MBC,voi_4,0.094933189,0.011769833,1.8387885357316536,0.0199379285002869,LF_wot,MBC_1
8,MBC,voi_5,0.097950488,0.009040729,1.8690663385497173,0.0202934670082317,LF_wot,MBC_1
8,MBC,voi_6,0.100361735,0.011764561,1.893262568758141,0.0205905260701328,LF_wot,MBC_1
18,MGA,voi_1,0.083190426,0.009726687,1.7303560516750254,0.0468388296919011,LF_wot,MGA_0
18,MGA,voi_2,0.081256509,0.012329809,1.7104790457262702,0.0464061000879285,LF_wot,MGA_0
18,MGA,voi_3,0.078231826,0.007444589,1.67939103006474,0.0457792075854606,LF_wot,MGA_0
18,MGA,voi_4,0.073498614,0.00628771,1.6307425704458836,0.0449257286911493,LF_wot,MGA_0
18,MGA,voi_5,0.078180909,0.006694115,1.6788676996881555,0.0457691876529235,LF_wot,MGA_0
18,MGA,voi_6,0.077910177,0.012654675,1.6760850872107234,0.045716211224924,LF_wot,MGA_0
19,MGA,voi_1,0.07664279,0.012938902,1.6630262478142073,0.0228829050835468,LF_wot,MGA_1
19,MGA,voi_2,0.091149397,0.010482893,1.810866805491803,0.0245707145401921,LF_wot,MGA_1
19,MGA,voi_3,0.07422968,0.011454745,1.6384336240437154,0.0226694889731182,LF_wot,MGA_1
19,MGA,voi_4,0.086594969,0.009386498,1.7644514600273218,0.0239703220203291,LF_wot,MGA_1
19,MGA,voi_5,0.087244213,0.012060815,1.7710680723770489,0.0240521764301318,LF_wot,MGA_1
19,MGA,voi_6,0.07539504,0.011667538,1.6503101071038246,0.0227699871721682,LF_wot,MGA_1
23,FRESH,voi_1,0.0949946,0.009904349,1.8610192574651017,0.0316862982644576,LF_wot,FRESH_0
23,FRESH,voi_2,0.097628564,0.009679385,1.8882866410945744,0.0322062099929629,LF_wot,FRESH_0
23,FRESH,voi_3,0.095129684,0.007394635,1.8624176772044008,0.0317124087210529,LF_wot,FRESH_0
23,FRESH,voi_4,0.096525103,0.008938857,1.8768633663622083,0.0319856553105633,LF_wot,FRESH_0
23,FRESH,voi_5,0.09823636,0.005038256,1.8945786810391056,0.0323293503528714,LF_wot,FRESH_0
23,FRESH,voi_6,0.097596496,0.006379607,1.887954665996118,0.0321997454380393,LF_wot,FRESH_0
26,FRESH,voi_1,0.10197024,0.008313442,1.9285807297218152,0.0274008127707277,LF_wot,FRESH_1
26,FRESH,voi_2,0.095532,0.013624394,1.8622659150805267,0.0263178360801177,LF_wot,FRESH_1
26,FRESH,voi_3,0.100368768,0.004463259,1.91208533364568,0.0271215520856058,LF_wot,FRESH_1
26,FRESH,voi_4,0.096572578,0.010007356,1.872984020834553,0.0264855375180288,LF_wot,FRESH_1
